FileName,TrackLength,Frequency
tracked_Traj_Set2_003.nd2_crop.tif,2.5,0
tracked_Traj_Set2_003.nd2_crop.tif,7.5,0
tracked_Traj_Set2_003.nd2_crop.tif,12.5,351
tracked_Traj_Set2_003.nd2_crop.tif,17.5,110
tracked_Traj_Set2_003.nd2_crop.tif,22.5,50
tracked_Traj_Set2_003.nd2_crop.tif,27.5,25
tracked_Traj_Set2_003.nd2_crop.tif,32.5,16
tracked_Traj_Set2_003.nd2_crop.tif,37.5,9
tracked_Traj_Set2_003.nd2_crop.tif,42.5,9
tracked_Traj_Set2_003.nd2_crop.tif,47.5,5
tracked_Traj_Set2_003.nd2_crop.tif,52.5,4
tracked_Traj_Set2_003.nd2_crop.tif,57.5,4
tracked_Traj_Set2_003.nd2_crop.tif,62.5,2
tracked_Traj_Set2_003.nd2_crop.tif,67.5,1
tracked_Traj_Set2_003.nd2_crop.tif,72.5,1
tracked_Traj_Set2_003.nd2_crop.tif,77.5,1
tracked_Traj_Set2_003.nd2_crop.tif,82.5,0
tracked_Traj_Set2_003.nd2_crop.tif,87.5,0
tracked_Traj_Set2_003.nd2_crop.tif,92.5,1
tracked_Traj_Set2_003.nd2_crop.tif,97.5,1
tracked_Traj_Set1_001.nd2_crop.tif,2.5,0
tracked_Traj_Set1_001.nd2_crop.tif,7.5,0
tracked_Traj_Set1_001.nd2_crop.tif,12.5,302
tracked_Traj_Set1_001.nd2_crop.tif,17.5,133
tracked_Traj_Set1_001.nd2_crop.tif,22.5,68
tracked_Traj_Set1_001.nd2_crop.tif,27.5,42
tracked_Traj_Set1_001.nd2_crop.tif,32.5,17
tracked_Traj_Set1_001.nd2_crop.tif,37.5,14
tracked_Traj_Set1_001.nd2_crop.tif,42.5,13
tracked_Traj_Set1_001.nd2_crop.tif,47.5,10
tracked_Traj_Set1_001.nd2_crop.tif,52.5,3
tracked_Traj_Set1_001.nd2_crop.tif,57.5,3
tracked_Traj_Set1_001.nd2_crop.tif,62.5,1
tracked_Traj_Set1_001.nd2_crop.tif,67.5,3
tracked_Traj_Set1_001.nd2_crop.tif,72.5,1
tracked_Traj_Set1_001.nd2_crop.tif,77.5,1
tracked_Traj_Set1_001.nd2_crop.tif,82.5,2
tracked_Traj_Set1_001.nd2_crop.tif,87.5,0
tracked_Traj_Set1_001.nd2_crop.tif,92.5,2
tracked_Traj_Set1_001.nd2_crop.tif,97.5,0
tracked_Traj_Set1_006.nd2_crop.tif,2.5,0
tracked_Traj_Set1_006.nd2_crop.tif,7.5,0
tracked_Traj_Set1_006.nd2_crop.tif,12.5,316
tracked_Traj_Set1_006.nd2_crop.tif,17.5,109
tracked_Traj_Set1_006.nd2_crop.tif,22.5,55
tracked_Traj_Set1_006.nd2_crop.tif,27.5,30
tracked_Traj_Set1_006.nd2_crop.tif,32.5,26
tracked_Traj_Set1_006.nd2_crop.tif,37.5,15
tracked_Traj_Set1_006.nd2_crop.tif,42.5,10
tracked_Traj_Set1_006.nd2_crop.tif,47.5,2
tracked_Traj_Set1_006.nd2_crop.tif,52.5,3
tracked_Traj_Set1_006.nd2_crop.tif,57.5,4
tracked_Traj_Set1_006.nd2_crop.tif,62.5,1
tracked_Traj_Set1_006.nd2_crop.tif,67.5,3
tracked_Traj_Set1_006.nd2_crop.tif,72.5,1
tracked_Traj_Set1_006.nd2_crop.tif,77.5,2
tracked_Traj_Set1_006.nd2_crop.tif,82.5,1
tracked_Traj_Set1_006.nd2_crop.tif,87.5,1
tracked_Traj_Set1_006.nd2_crop.tif,92.5,1
tracked_Traj_Set1_006.nd2_crop.tif,97.5,0
tracked_Traj_Set1_002.nd2_crop.tif,2.5,0
tracked_Traj_Set1_002.nd2_crop.tif,7.5,0
tracked_Traj_Set1_002.nd2_crop.tif,12.5,172
tracked_Traj_Set1_002.nd2_crop.tif,17.5,47
tracked_Traj_Set1_002.nd2_crop.tif,22.5,21
tracked_Traj_Set1_002.nd2_crop.tif,27.5,17
tracked_Traj_Set1_002.nd2_crop.tif,32.5,6
tracked_Traj_Set1_002.nd2_crop.tif,37.5,2
tracked_Traj_Set1_002.nd2_crop.tif,42.5,1
tracked_Traj_Set1_002.nd2_crop.tif,47.5,1
tracked_Traj_Set1_002.nd2_crop.tif,52.5,1
tracked_Traj_Set1_002.nd2_crop.tif,57.5,1
tracked_Traj_Set1_002.nd2_crop.tif,62.5,0
tracked_Traj_Set1_002.nd2_crop.tif,67.5,1
tracked_Traj_Set1_002.nd2_crop.tif,72.5,0
tracked_Traj_Set1_002.nd2_crop.tif,77.5,0
tracked_Traj_Set1_002.nd2_crop.tif,82.5,1
tracked_Traj_Set1_002.nd2_crop.tif,87.5,1
tracked_Traj_Set1_002.nd2_crop.tif,92.5,0
tracked_Traj_Set1_002.nd2_crop.tif,97.5,0
