embryo,noise_floor_D_um2s,partition_size_used,note
Early,0.014864643114897668,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early001,0.019423983454626547,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early002,0.018377739923967358,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early003,0.01830172735513874,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early004,0.015990927596232402,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early005,0.010359138404195617,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early006,0.014436025407628821,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early007,0.014850090135855875,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early008,0.015467485257375254,5,Mean D from 5-frame partitions (upper-bound noise estimate)
Early009,0.015159659704688931,5,Mean D from 5-frame partitions (upper-bound noise estimate)
