embryo,overall_cv,MeanD_part5,CV_part5,N_part5,MeanD_part10,CV_part10,N_part10,MeanD_part15,CV_part15,N_part15,MeanD_part20,CV_part20,N_part20
Early,0.13622137253782562,0.014864643114897668,1.8276658480057273,294.0,0.014482006276309146,1.3919329321493377,135.0,0.012095507825089594,1.4414469735939437,53.0,0.01054137912388594,1.4406029467892159,25.0
Early001,0.20184283690457108,0.019423983454626547,1.7922283215652584,1543.0,0.01831458020180081,1.2127513319866685,712.0,0.013722877833615092,1.2420797887025463,258.0,0.011694530380641563,1.162176538661416,139.0
Early002,0.3947850923619377,0.018377739923967358,1.9280310333017407,869.0,0.01886489472955249,1.3901065187018846,403.0,0.009576349180241939,1.3372773647467573,137.0,0.0068462337802013004,1.3202875132555603,74.0
Early003,0.3159684917417947,0.01830172735513874,1.9753626981664976,1095.0,0.01762413441671333,1.328467143687536,513.0,0.009761742303462063,1.4112736461029172,192.0,0.008960803932488796,1.259844455222851,109.0
Early004,0.31724366253451186,0.015990927596232402,1.8870522449562885,1325.0,0.016598707302351863,1.4918876430873669,606.0,0.009239341409348165,1.5399659156598304,230.0,0.007774536873813379,1.4112030023525186,113.0
Early005,0.2179565489537207,0.010359138404195617,2.4912900535790112,2130.0,0.010433906462729901,1.761855873774925,979.0,0.007176253777801828,1.618884838925776,393.0,0.006267105139163501,1.5813214609042088,215.0
Early006,0.2017655867340611,0.014436025407628821,1.9232865098129426,1464.0,0.014778319436362831,1.4065726199542776,664.0,0.01075654560417195,1.2857681718686647,242.0,0.008941140506024767,1.1509346680574213,116.0
Early007,0.3076113199830518,0.014850090135855875,2.0180492928916745,1921.0,0.014667489919552672,1.569528649392851,889.0,0.008386887815323055,1.5434694108102658,383.0,0.007308808144059109,1.705742550785809,212.0
Early008,0.2550106413763126,0.015467485257375254,2.011577293092618,1411.0,0.015142210292936787,1.5398415866556217,652.0,0.010152527763305374,1.3374398718110447,227.0,0.008256508934459138,1.2249694951942198,113.0
Early009,0.1902951962316732,0.015159659704688931,1.9809435404413054,1588.0,0.014127729464427207,1.5106096653189425,731.0,0.01099598180711467,1.327911542030283,287.0,0.009289420004369803,1.345599046656408,158.0
