FileName,N_total_tracks,N_short_excl,N_long_excl,frac_over20fr,N_analysed,MeanTrackLength,MedianD,MeanD,StdD,SEMD,MinD,MaxD,QualityFlag,MeanParticlesPerFrame
Traj_Later.nd2_crop,23191,22451,127,0.0055,613,3.4029149238928893,0.06751016803392654,0.09644355652248046,0.09683377080045005,0.003914273187618693,-0.051542561867119224,0.5838788798579064,PASS,
Traj_Later001.nd2_crop,27919,27487,76,0.0027,356,3.048604892725384,0.10432597272372177,0.12790828463668763,0.10391377983103132,0.005515170789885968,-0.0210313964946731,0.5150644401755067,PASS,
Traj_Later002.nd2_crop,22471,21856,110,0.0049,505,3.5289039206087844,0.10672271007043907,0.12709870971867093,0.10265826573230413,0.0045727625986985475,-0.023510220324703502,0.6316920616889522,PASS,
Traj_Later003.nd2_crop,22758,22121,104,0.0046,533,3.526188593022234,0.12991238465028387,0.14567368272448494,0.10742249686207737,0.00465735589901404,-0.04524272535178653,0.5809642288062189,PASS,
Traj_Later004.nd2_crop,24884,24319,95,0.0038,470,3.3542436907249638,0.11924646085985036,0.13416599534930265,0.10707203406155039,0.0049441271568851745,-0.031312214962955255,0.4698392160514931,PASS,
Traj_Later005.nd2_crop,25790,25360,66,0.0026,364,3.2224505622334236,0.12959482805244615,0.15105724591928638,0.11132262983570024,0.005842922754776236,-0.02608541467511174,0.6333845758986852,PASS,
Traj_Later006.nd2_crop,24588,23885,105,0.0043,598,3.3852692370261916,0.13412088441275138,0.14714678992257965,0.10908630733549267,0.0044646053485251835,-0.034809079208264405,0.5338788852143853,PASS,
Traj_Later007.nd2_crop,20100,20029,8,0.0004,63,2.3628358208955222,0.07200853024259535,0.11145534682943334,0.1269541295527246,0.016123190576394657,-0.008167384394976034,0.6697705527681127,PASS,
Traj_Later008.nd2_crop,27378,26855,90,0.0033,433,3.3125867484841844,0.11935490436460817,0.13886272613539738,0.10052007750100034,0.004836274483680383,-0.017936093039076822,0.489511292788588,PASS,
Traj_Later009.nd2_crop,20990,20166,159,0.0076,665,3.8727489280609815,0.12793335344047996,0.14289193069025852,0.09771367963604144,0.0037920261909106874,-0.10030415438563607,0.5702837789932114,PASS,
Traj_Later010.nd2_crop,26344,25760,79,0.003,505,3.3489219556635286,0.1332635338710808,0.15584302567221414,0.11097173383436028,0.004943073900291022,-0.04573653415614625,0.627959796645667,PASS,
Traj_Later011.nd2_crop,21353,20445,133,0.0062,775,3.8485927036013674,0.12815902780483454,0.14392538417439074,0.09889351466507411,0.0035546539793899494,-0.03814400872297368,0.7628650711104069,PASS,
