FileName,MedianDiffusion,MeanDiffusion,StdDiffusion,SEMDiffusion,NumTrajectories,MinDiffusion,MaxDiffusion,NumTracks,MeanTrackLength
tracked_Traj_Later.nd2_crop,0.04605289071856483,0.08128429719408174,0.09755084916250108,0.0035860405350969134,740,-0.04158018749372739,0.5931804468741249,740,17.75
tracked_Traj_Later001.nd2_crop,0.07575896084384078,0.11268329001419246,0.11563456538745179,0.005563470621172556,432,-0.025791351525698506,0.6436200877837222,432,17.88888888888889
tracked_Traj_Later002.nd2_crop,0.06866097143728922,0.10778633598205935,0.11548505240947816,0.004656806772575555,615,-0.015717381105830514,0.8282802159307953,615,17.95609756097561
tracked_Traj_Later003.nd2_crop,0.09349765826396145,0.12900376807291872,0.1265889756085306,0.0050156378292859054,637,-0.024985828568364343,0.9567490707240581,637,17.255886970172686
tracked_Traj_Later004.nd2_crop,0.0717355058391956,0.11228801786822473,0.11908193993696532,0.005009814865805703,565,-0.02609247114033565,0.6672052951687014,565,17.31150442477876
tracked_Traj_Later005.nd2_crop,0.08976309439024477,0.12721687485217678,0.13108420289343845,0.006321441594529066,430,-0.025074661662508185,0.986079649975055,430,16.311627906976746
tracked_Traj_Later006.nd2_crop,0.09482691206767105,0.12454240622384619,0.12007510460567179,0.004528718342279936,703,-0.019058736807860004,0.6455061929142203,703,16.80512091038407
tracked_Traj_Later007.nd2_crop,0.043065544844188924,0.10339541429500969,0.15973542646344685,0.018957107429059178,71,-0.011624688486253233,1.0572350207071097,71,15.577464788732394
tracked_Traj_Later008.nd2_crop,0.09108149706380925,0.1209561087673822,0.11150247008141315,0.004875662593448782,523,-0.023103792261697856,0.6082721090382878,523,17.235181644359464
tracked_Traj_Later009.nd2_crop,0.08973834023810855,0.12134104684464363,0.11432511051627074,0.003982703942961182,824,-0.06549917883602811,0.668447133841526,824,19.211165048543688
tracked_Traj_Later010.nd2_crop,0.09613983843291027,0.13582090105951258,0.1291463872781482,0.00534411553015587,584,-0.0018845128274744163,0.7317247740403763,584,16.40753424657534
tracked_Traj_Later011.nd2_crop,0.09591596229481025,0.12856912030523365,0.1184428475452405,0.003930663950402881,908,-0.055129836497683785,1.1599399359829312,908,16.634361233480178
