FileName,MeanParticlesPerFrame,StdParticlesPerFrame,FramesSampled,TotalFrames,MedianParticlesPerFrame
Later.nd2_crop.tif,474.00,43.90,10,300,474.00

Later001.nd2_crop.tif,844.40,99.17,10,300,865.50

Later002.nd2_crop.tif,703.50,44.94,10,300,712.00

Later003.nd2_crop.tif,689.00,23.93,10,300,685.00

Later004.nd2_crop.tif,633.70,39.95,10,300,624.50

Later005.nd2_crop.tif,524.90,33.49,10,300,524.00

Later006.nd2_crop.tif,794.90,38.56,10,300,791.50

Later007.nd2_crop.tif,757.50,88.48,10,138,748.00

Later008.nd2_crop.tif,506.10,25.00,10,300,497.50

Later009.nd2_crop.tif,425.00,15.48,10,300,427.50

Later010.nd2_crop.tif,489.40,23.12,10,300,487.50

Later011.nd2_crop.tif,388.00,14.21,10,300,392.50

